rest_name,cuisine,hours,good_for,location,address
Grill Ninety Nine,"American, Fusion, Seafood, Steakhouse, Vegetarian Friendly, Halal Certified, Cafe, Pizza, BBQ                                          ",Mon-Sun: 12-10pm                    ,"Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner",Bugis,142 Arab StreetSingapore (199828) 
The Halia at Singapore Botanic Gardens,"Fusion, Vegetarian Friendly, Halal Certified                                          ",Mon-Sun: 9am-9pm                    ,"Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Quiet Dinner, Romantic Dates",Tanglin,1 Cluny RoadGinger GardenBotanic GardensSingapore (259569)
Pavilion Banana Leaf,"Indian, Halal Certified                                          ",Mon-Fri & Eve of PH: 11:30am-9:30pmSat-Sun & PH: 8:30am-9:30pm                    ,"Business Meetings, Casual Dining, Drinks, Private Functions, Large Parties (16+)",Serangoon,23 Serangoon Central#02-17NEXSingapore (556083)
Sofra Turkish Cafe & Restaurant,"Middle Eastern, Vegetarian Friendly, Halal Certified                                          ",Mon-Fri: 11:30am-10pm (Last Order: 9pm)Sat-Sun: 11:30am-9pm (Last Order: 8:45pm) ,"Business Meetings, Casual Dining, Kid Friendly, Private Functions, Quiet Dinner","City Hall, Promenade, Marina Central",6 Raffles Boulevard#03-129AMarina SquareSingapore (039594)
Atrium Restaurant,"Buffet, Fusion, International, Seafood, All-Day Breakfast, Vegetarian Friendly, Local, Halal Certified, Cafe                                          ",Mon-Sun: 11:30am-9:30pm                    ,"Business Meetings, Casual Dining, Kid Friendly, Private Functions","Tiong Bahru, Outram",317 Outram RoadLevel 4Holiday Inn Singapore AtriumSingapore (169075)
StraitsKitchen,"Buffet, Chinese, Indian, Malaysian, Vegetarian Friendly, Local, Southeast Asian, Halal Certified                                          ","Mon-Sun: 12-2pm, 3-4:30pm, 6:30-9:30pm                    ","Business Meetings, Casual Dining, Kid Friendly",Orchard,10 Scotts RoadGrand Hyatt SingaporeLobby LevelSingapore (228211)
Window on the Park,"Buffet, Seafood, Local, Halal Certified                                          ",Mon-Sun: 12-10pm (Last Order: 9:30pm)Lunch: 12-2:30pmAfternoon Tea: 12-5:30pmDinner: 6-10pm                     ,"Business Meetings, Casual Dining, Kid Friendly",Orchard,11 Cavenagh RoadSingapore (229616)
21 on Rajah,"Buffet, Vegetarian Friendly, Local, Halal Certified                                          ",Mon-Sun: 6am-10:30pm                    ,"Business Meetings, Casual Dining, Kid Friendly, Private Functions","Novena, Balestier",1 Jalan RajahSingapore (329133)
Citrus By The Pool,"Fusion, Halal Certified, Cafe                                          ",Mon-Thu: 11am-10:30pm (Last order at 9:30pm)Fri-Sun & Public Holidays: 11am-11pm (Last order at 10pm)                    ,"Business Meetings, Casual Dining, Kid Friendly, Private Functions",Woodlands,3 Woodlands Street 13#3-3AWoodlands Swimming ComplexSingapore (738600)
Eatzi Gourmet Bistro (SAFRA Yishun),"Steakhouse, Halal Certified                                          ",Mon-Sun: 11am-10pm                    ,"Casual Dining, Kid Friendly",Yishun,60 Yishun Ave 4#01-V2SAFRA YishunSingapore (769027) 
GREAThai (East Village),"Thai, Halal Certified                                          ",Mon-Sun: 11:30am-10:30pm                    ,"Casual Dining, Kid Friendly",Changi,430 Upper Changi Road#01-06East VillageSingapore (487048) 
Home Of Seafood,"Chinese, Seafood, Halal Certified                                          ","Mon-Sun: 11am-2pm, 5-11pm                    ","Business Meetings, Casual Dining, Kid Friendly, Private Functions",East Coast,1 Joo Chiat PlaceSingapore (427739)
Jiak Modern Tzechar (Hillview),"Chinese, Malaysian, Seafood, Vegetarian Friendly, Local, Halal Certified, Zi Char                                          ",Mon-Sun: 11:30am-9:30pm                    ,"Casual Dining, Kid Friendly, Private Functions","Bukit Timah, Marina Central",4 Hillview Rise#02-04Hillv2Singapore (667979)
Katong Kitchen,"Buffet, Chinese, Malaysian, Seafood, Local, Peranakan, Halal Certified                                          ",Mon-Sun: 6:30am-10pmBuffet DinnerFri-Sat: 6:30-10pm ,"Business Meetings, Casual Dining, Kid Friendly, Drinks, Private Functions, Large Parties (16+)","East Coast, Marine Parade",25 Marine Parade RoadLevel 4Village Hotel Katong Level 4Singapore (449536)
Kintamani Indonesian Restaurant,"Buffet, Indonesian, Halal Certified                                          ","Mon-Sun: 12-2:30pm, 6-10:30pm                    ","Business Meetings, Casual Dining, Private Functions, Large Parties (16+)",Outram,405 Havelock RoadLevel 3Furama RiverFront SingaporeSingapore (169633)
Pagi Sore (Far East Square),"Indonesian, Halal Certified                                          ","Mon-Sun: 11am-3pm (Last Order: 2:30pm), 6-10pm (Last Order: 9:15pm)                    ","Business Meetings, Casual Dining, Kid Friendly, Quiet Dinner","Raffles Place, Telok Ayer",88/90 Telok Ayer StreetFar East SquareSingapore (048470)
Royal Palm @ Orchid Country Club,"International, Halal Certified                                          ",Mon-Sun: 11am-10:30pm                    ,"Al Fresco, Business Meetings, Casual Dining, Kid Friendly, Private Functions, Large Parties (16+)",Yishun,1 Orchid Club Road01-21/22Orchid Country ClubSingapore (769162)
Siam Kitchen (Lot 1),"Thai, Halal Certified                                          ",Mon-Sun: 11:30am-10pm (Last Order: 9:45pm)                    ,"Casual Dining, Kid Friendly, Quiet Dinner",Choa Chu Kang,21 Choa Chu Kang Avenue 4#02-25Lot 1Singapore (689812)
Straits Cafe,"Buffet, Indian, Local, Halal Certified, Mediterranean                                          ",Fri-Sun: 11:30am-9:30pmClosed Monday to Thursday                    ,"Business Meetings, Casual Dining, Kid Friendly, Drinks, Quiet Dinner, Large Parties (16+)","City Hall, Dhoby Ghaut",9 Bras Basah RoadLobby LevelRendezvous HotelSingapore (189559)
The Landmark,"Buffet, Indian, Seafood, Vegetarian Friendly, Local, Halal Certified                                          ","Mon-Sun: 12-2:30pm, 6:30-10:30pm                    ","Al Fresco, Business Meetings, Casual Dining, Private Functions, Quiet Dinner, Large Parties (16+)",Bugis,390 Victoria Street#05-01Village Hotel BugisSingapore (188061)
Yassin Kampung (Clementi),"Seafood, Local, Zi Char                                          ",Mon-Sun: 10am-11pm                    ,"Casual Dining, Kid Friendly, Large Parties (16+)",Clementi,106 Clementi Street 12#01-56Singapore (120106)
Bali Thai (NEX),"Indonesian, Thai, Fusion, Halal Certified                                          ",Mon-Sun: 11:30am-10pm                    ,Casual Dining,Serangoon,23 Serangoon Central#02-13NEXSingapore (556083)
Streats (Tampines 1),"Chinese, Dim Sum, Halal Certified                                          ",Mon-Sun: 11am-10pm                    ,Casual Dining,Tampines,10 Tampines Central 1#B1-05Tampines 1Singapore (529536)
So Pho (ION Orchard),"Vietnamese, Halal Certified                                          ",Mon-Sun: 10am-10pm                    ,Casual Dining,Orchard,2 Orchard Turn#B3-19 ION OrchardSingapore (238801)
Suki-Suki Thai Hot Pot (Khatib),"Buffet, Thai, Halal Certified                                          ","Mon-Thu: 11am-3pm, 6-10pm Fri-Sun: 11am-10pm                     ","Casual Dining, Kid Friendly",Yishun,2 Yishun Walk#01-01HomeTeamNS Clubhouse Singapore Singapore (767944)
